Ville,Prix,Surface,Nombre De Pièces,Nombre De Chambres,Nombre De Salles De Bain,Etat De Location,Age De Location,Nombre D’Étages,Orientation,Jardin,Terrasse,Garage,Ascenseur,Piscine,Concierge,Meublé,Salon Marocain,Salon européen,Climatisation,Sécurité,Cuisine équipée,Réfrigérateur,Four,TV,Machine à laver,Micro-ondes,Animaux domestiques autorisés,Type du sol
salé,17 200 DH,220m²,6 Pièces,3 Chambres,4 Salles de bains,Bon état,Nan,4èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,11 000 DH,90m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,5 300 DH,30m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,1-5 ans,1erétage,Nan,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,Nan
salé,20 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,25 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,Nan,131m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,Nan
salé,17 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,Nan,"
 Sud",Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,20 000 DH,171m²,5 Pièces,3 Chambres,3 Salles de bains,Bon état,5-10 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,14 000 DH,96m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Nan,"
 Parquet"
salé,11 500 DH,85m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Nan,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,Nan
salé,6 000 DH,50m²,2 Pièces,1 Chambre,2 Salles de bains,Nouveau,1-5 ans,Nan,Nan,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Nan,Nan
salé,21 000 DH,250m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Ouest",Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,7èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,"
 Marbre"
salé,14 000 DH,160m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,"
 Marbre"
salé,14 000 DH,110m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,7èmeétage,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Marbre"
salé,19 000 DH,150m²,3 Pièces,3 Chambres,2 Salles de bains,Nouveau,Nan,3èmeétage,Nan,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Nan
salé,14 500 DH,120m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Nan,"
 Parquet"
salé,9 000 DH,44m²,Nan,1 Chambre,1 Salle de bain,Nan,Nan,Nan,Nan,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,5 000 DH,44m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,Nan,Nan,Nan,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,10 000 DH,140m²,4 Pièces,3 Chambres,2 Salles de bains,Nan,Nan,2èmeétage,Nan,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Nan,"
 Parquet"
salé,15 000 DH,110m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,Moins d'un an,8èmeétage,"
 Sud",Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,18 000 DH,142m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Sud",Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,8 200 DH,95m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,5-10 ans,4èmeétage,"
 Sud",Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Carrelage"
salé,13 500 DH,101m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,5èmeétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Parquet"
salé,7 900 DH,Nan,4 Pièces,3 Chambres,1 Salle de bain,Bon état,5-10 ans,1erétage,"
 Ouest",Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,17 000 DH,160m²,4 Pièces,3 Chambres,3 Salles de bains,Bon état,Nan,3èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,"
 Marbre"
salé,14 500 DH,159m²,5 Pièces,3 Chambres,3 Salles de bains,Bon état,1-5 ans,4èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,"
 Parquet"
salé,14 000 DH,160m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,Nan,"
 Ouest",Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Nan,"
 Parquet"
salé,15 000 DH,110m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,8èmeétage,Nan,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Marbre"
salé,30 000 DH,300m²,7 Pièces,4 Chambres,4 Salles de bains,Nouveau,Moins d'un an,5èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 500 DH,172m²,4 Pièces,3 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,9 500 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,6èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 000 DH,240m²,6 Pièces,4 Chambres,4 Salles de bains,Bon état,Moins d'un an,2èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,17 200 DH,220m²,6 Pièces,3 Chambres,4 Salles de bains,Bon état,Nan,4èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,11 000 DH,90m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,5 300 DH,30m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,1-5 ans,1erétage,Nan,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,Nan
salé,20 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,25 000 DH,258m²,4 Pièces,4 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,Nan,131m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,Nan
salé,17 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,10-20 ans,Nan,"
 Sud",Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,20 000 DH,171m²,5 Pièces,3 Chambres,3 Salles de bains,Bon état,5-10 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,14 000 DH,96m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Nan,"
 Parquet"
salé,11 500 DH,85m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,Nan,Nan,Nan,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,Nan
salé,6 000 DH,50m²,2 Pièces,1 Chambre,2 Salles de bains,Nouveau,1-5 ans,Nan,Nan,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Oui,Non,Non,Non,Nan,Nan
salé,21 000 DH,250m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Ouest",Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Non,Non,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 000 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,7èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,"
 Marbre"
salé,14 000 DH,160m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,Nan,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,"
 Marbre"
salé,14 000 DH,110m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,7èmeétage,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Marbre"
salé,19 000 DH,150m²,3 Pièces,3 Chambres,2 Salles de bains,Nouveau,Nan,3èmeétage,Nan,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Nan
salé,14 500 DH,120m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Sud",Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Nan,"
 Parquet"
salé,9 000 DH,44m²,Nan,1 Chambre,1 Salle de bain,Nan,Nan,Nan,Nan,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,5 000 DH,44m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,Nan,Nan,Nan,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,10 000 DH,140m²,4 Pièces,3 Chambres,2 Salles de bains,Nan,Nan,2èmeétage,Nan,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Nan,"
 Parquet"
salé,15 000 DH,110m²,4 Pièces,3 Chambres,3 Salles de bains,Nouveau,Moins d'un an,8èmeétage,"
 Sud",Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,18 000 DH,142m²,5 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Sud",Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,8 200 DH,95m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,5-10 ans,4èmeétage,"
 Sud",Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Carrelage"
salé,13 500 DH,101m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,5èmeétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Non,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Parquet"
salé,7 900 DH,Nan,4 Pièces,3 Chambres,1 Salle de bain,Bon état,5-10 ans,1erétage,"
 Ouest",Non,Oui,Non,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Parquet"
salé,17 000 DH,160m²,4 Pièces,3 Chambres,3 Salles de bains,Bon état,Nan,3èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,"
 Marbre"
salé,14 500 DH,159m²,5 Pièces,3 Chambres,3 Salles de bains,Bon état,1-5 ans,4èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,"
 Parquet"
salé,14 000 DH,160m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,Nan,"
 Ouest",Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Nan,"
 Parquet"
salé,15 000 DH,110m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,8èmeétage,Nan,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Marbre"
salé,30 000 DH,300m²,7 Pièces,4 Chambres,4 Salles de bains,Nouveau,Moins d'un an,5èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 500 DH,172m²,4 Pièces,3 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,9 500 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,6èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Nan,"
 Marbre"
salé,12 000 DH,240m²,6 Pièces,4 Chambres,4 Salles de bains,Bon état,Moins d'un an,2èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,7 000 DH,96m²,3 Pièces,1 Chambre,2 Salles de bains,Nouveau,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Nan,Nan
salé,15 000 DH,160m²,4 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,2èmeétage,"
 Sud",Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,4 500 DH,70m²,3 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,2èmeétage,Nan,Oui,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Oui,"
 Marbre"
salé,15 000 DH,150m²,6 Pièces,3 Chambres,2 Salles de bains,Nouveau,Moins d'un an,1erétage,"
 Est",Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Non,Non,Nan,"
 Marbre"
salé,4 000 DH,79m²,4 Pièces,2 Chambres,2 Salles de bains,Nouveau,1-5 ans,3èmeétage,Nan,Non,Non,Oui,Oui,Non,Non,Non,Oui,Non,Non,Oui,Non,Non,Oui,Non,Non,Non,Nan,"
 Carrelage"
salé,6 500 DH,80m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,Nan,3èmeétage,Nan,Non,Non,Oui,Oui,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,7 000 DH,120m²,4 Pièces,3 Chambres,2 Salles de bains,Bon état,Nan,2èmeétage,Nan,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Nan,"
 Carrelage"
salé,15 000 DH,160m²,6 Pièces,2 Chambres,2 Salles de bains,Nouveau,5-10 ans,Nan,Nan,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,12 500 DH,100m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,Nan,2èmeétage,Nan,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Parquet"
salé,40 003 DH,56m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,1erétage,"
 Nord",Oui,Non,Non,Non,Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Oui,Non,Non,Nan,"
 Marbre"
salé,2 900 DH,70m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,Nan,Nan,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
salé,12 000 DH,126m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,20 000 DH,310m²,8 Pièces,4 Chambres,3 Salles de bains,Bon état,Nan,Nan,Nan,Non,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,3 250 DH,98m²,2 Pièces,2 Chambres,1 Salle de bain,Bon état,10-20 ans,4èmeétage,"
 Nord",Non,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Carrelage"
salé,7 000 DH,50m²,2 Pièces,1 Chambre,1 Salle de bain,Bon état,5-10 ans,Nan,"
 Est",Non,Non,Oui,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Marbre"
salé,7 000 DH,Nan,2 Pièces,1 Chambre,2 Salles de bains,Bon état,Nan,Nan,Nan,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Oui,Nan
salé,2 700 DH,60m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,1-5 ans,Nan,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
salé,13 500 DH,90m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,Nan,Nan,Oui,Non,Oui,Non,Non,Non,Oui,Non,Oui,Non,Non,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Carrelage"
salé,1 500 DH,100m²,1 Pièce,1 Chambre,2 Salles de bains,Bon état,20-30 ans,1erétage,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
salé,2 600 DH,61m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,10-20 ans,1erétage,Nan,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Carrelage"
salé,4 500 DH,70m²,1 Pièce,2 Chambres,2 Salles de bains,Nouveau,Moins d'un an,3èmeétage,Nan,Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Non,Nan,"
 Carrelage"
salé,3 000 DH,55m²,3 Pièces,2 Chambres,1 Salle de bain,Bon état,1-5 ans,3èmeétage,"
 Nord",Oui,Oui,Non,Non,Non,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Non,Non,Nan,Nan
salé,2 800 DH,100m²,4 Pièces,2 Chambres,1 Salle de bain,Nouveau,1-5 ans,2èmeétage,"
 Ouest",Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,5 500 DH,119m²,1 Pièce,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,2èmeétage,"
 Ouest",Non,Oui,Oui,Oui,Non,Oui,Non,Non,Non,Non,Non,Oui,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,8 200 DH,90m²,2 Pièces,3 Chambres,2 Salles de bains,Bon état,1-5 ans,Nan,Nan,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,"
 Carrelage"
salé,3 700 DH,96m²,2 Pièces,2 Chambres,2 Salles de bains,Bon état,5-10 ans,Nan,"
 Nord",Oui,Non,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,"
 Marbre"
salé,25 000 DH,196m²,6 Pièces,3 Chambres,2 Salles de bains,Bon état,Nan,Nan,Nan,Non,Oui,Oui,Oui,Oui,Non,Oui,Oui,Oui,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,14 500 DH,163m²,4 Pièces,2 Chambres,Nan,Nan,Nan,4èmeétage,Nan,Non,Oui,Non,Oui,Non,Non,Non,Non,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Nan,Nan
salé,5 300 DH,35m²,1 Pièce,1 Chambre,1 Salle de bain,Bon état,5-10 ans,3èmeétage,"
 Ouest",Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Oui,Oui,Oui,Oui,Oui,Non,Oui,Nan,Nan
salé,3 900 DH,69m²,3 Pièces,2 Chambres,2 Salles de bains,Bon état,1-5 ans,Nan,Nan,Non,Non,Oui,Oui,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Nan,Nan
salé,13 000 DH,140m²,4 Pièces,3 Chambres,2 Salles de bains,Nouveau,1-5 ans,1erétage,"
 Sud",Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Oui,Oui,Oui,Oui,Oui,Non,Non,Oui,Nan,"
 Parquet"
salé,7 800 DH,113m²,2 Pièces,3 Chambres,3 Salles de bains,Nouveau,1-5 ans,3èmeétage,"
 Sud",Oui,Oui,Oui,Oui,Non,Non,Non,Oui,Oui,Non,Oui,Oui,Non,Oui,Non,Non,Non,Nan,"
 Carrelage"
salé,2 500 DH,63m²,1 Pièce,2 Chambres,1 Salle de bain,Bon état,5-10 ans,4èmeétage,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non,Non
